agent,lang,task,rep,stratum,label,accepted_round,draft0_ok,py_compile_draft0,unresolved_draft0,rounds_run
author-compact,py,s2-count-above,3,S2,6,0,True,True,False,1
author-compact,py,s2-max,1,S2,6,0,True,True,False,1
author-compact,py,s2-max,2,S2,6,0,True,True,False,1
author-compact,py,s2-max,3,S2,6,0,True,True,False,1
author-compact,py,s2-dot,1,S2,6,0,True,True,False,1
author-compact,py,s2-dot,2,S2,6,0,True,True,False,1
author-compact,py,s2-dot,3,S2,6,0,True,True,False,1
author-compact,py,s3-grade,1,S3,6,0,True,True,False,1
author-compact,py,s3-grade,2,S3,6,0,True,True,False,1
author-compact,py,s3-grade,3,S3,6,0,True,True,False,1
author-compact,py,s3-fizz,1,S3,6,0,True,True,False,1
author-compact,py,s3-fizz,2,S3,6,0,True,True,False,1
author-compact,py,s3-fizz,3,S3,6,0,True,True,False,1
author-compact,py,s3-move,1,S3,6,0,True,True,False,1
author-compact,py,s3-move,2,S3,6,0,True,True,False,1
author-compact,py,s3-move,3,S3,6,0,True,True,False,1
author-compact,py,s3-tax,1,S3,6,0,True,True,False,1
author-compact,py,s3-tax,2,S3,6,0,True,True,False,1
author-compact,py,s3-tax,3,S3,6,0,True,True,False,1
author-compact,py,s4-greet,1,S4,6,0,True,True,False,1
author-compact,py,s4-greet,2,S4,6,0,True,True,False,1
author-compact,py,s4-greet,3,S4,6,0,True,True,False,1
author-compact,py,s4-line,1,S4,6,0,True,True,False,1
author-compact,py,s4-line,2,S4,6,0,True,True,False,1
author-compact,py,s4-line,3,S4,6,0,True,True,False,1
author-compact,py,s4-plural,1,S4,6,0,True,True,False,1
author-compact,py,s4-plural,2,S4,6,0,True,True,False,1
author-compact,py,s4-plural,3,S4,6,0,True,True,False,1
author-compact,py,s4-bar,1,S4,6,0,True,True,False,1
author-compact,py,s4-bar,2,S4,6,0,True,True,False,1
author-compact,py,s4-bar,3,S4,6,0,True,True,False,1
author-compact,py,s5-stats,1,S5,6,0,True,True,False,1
